id,bindUser,bindPass,targetUser,targetPass,time,action,param1,param2,param3
1,Christopher.Clark,ADpass1$,,,1,FSreadFile,X:\Data\Departments\Human Resources\HRData-FormatFour.txt,,
2,Sarah.Campbell,ADpass1$,,,5,FSwriteFile,X:\Data\Departments\Human Resources\Benefits.txt,114332542 Some New Employee,
3,Sarah.Campbell,ADpass1$,,,10,FSreadFile,X:\Data\Departments\Human Resources\HRData-FormatFour.txt,,
4,Sarah.Campbell,ADpass1$,,,15,FSreadFile,X:\Data\Departments\Human Resources\HRData-FormatFive.txt,,
5,Sarah.Campbell,ADpass1$,,,20,FSreadFile,X:\Data\Departments\Human Resources\HRData-FormatSix.txt,,
6,Michelle.Perez,ADpass1$,,,25,FSreadFile,X:\Data\Departments\Human Resources\HRData-FormatFour.txt,,
7,Michelle.Perez,ADpass1$,,,35,FSreadFile,X:\Data\Departments\Finance\capital_depr.txt,,
8,Michelle.Perez,ADpass1$,,,40,FSreadFile,X:\Data\Departments\Finance\refi_loans.txt,,
9,Sarah.Campbell,ADpass1$,,,45,FSreadFile,X:\Data\Departments\Human Resources\HRData-FormatFour.txt,,
10,Sarah.Campbell,ADpass1$,,,50,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.txt,,
11,Anthony.Roberts,ADpass1$,,,55,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.txt,,
12,Elizabeth.Taylor,ADpass1$,,,60,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.txt,,
13,Edward.Baker,ADpass1$,,,65,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.rtf,,
14,Sarah.Campbell,ADpass1$,,,70,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.rtf,,
15,Amanda.Ross,ADpass1$,,,75,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.txt,,
16,Michelle.Perez,ADpass1$,,,80,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.txt,,
17,Michelle.Perez,ADpass1$,,,85,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.rtf,,
18,Michelle.Perez,ADpass1$,,,90,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.txt,,
19,Michelle.Perez,ADpass1$,,,95,FSreadFile,X:\Data\Departments\Accounting\Acct_2014\Q3_14\Q3_paymentSchedule.rtf,,

100,Sarah.Campbell,ADpass1$,,,100,FScreateFile,X:\Data\Departments\Human Resources\HR_Exceptions.txt,,
101,Sarah.Campbell,ADpass1$,,,110,FSmoveFile,X:\Data\Departments\Human Resources\HR_Exceptions.txt,X:\Data\Departments\Human Resources\NothingToSeeHere.txt,
102,Sarah.Campbell,ADpass1$,,,120,FSdeleteFile,X:\Data\Departments\Human Resources\NothingToSeeHere.txt,,

